id,year,paper_type,question,part,topic,sub_topic,task,keywords,difficulty,marks,page,pdf,ms_pdf
202425_Final_Q1a,2024/25,Final,1,a,logic,propositional logic,Convert English to propositional logic,"propositional logic,atomic propositions,implication",1,2,2,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q1b,2024/25,Final,1,b,relations,properties,Identify properties of a relation,"reflexive,symmetric,transitive,equivalence relation,antisymmetric",2,6,2,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q1c,2024/25,Final,1,c,enumeration,n-bit strings,Count n-bit strings with conditions,"enumeration,n-bit strings,weight,inclusion-exclusion",3,6,2,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q1d,2024/25,Final,1,d,logic,truth tables,Construct truth table and classify proposition,"truth table,tautology,contradiction,satisfiable",2,6,2,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q2a,2024/25,Final,2,a,sequences,arithmetic sequences,Analyse arithmetic sequence,"arithmetic progression,common difference,nth term",2,5,3,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q2b,2024/25,Final,2,b,graphs,degree sequences,Draw graph from degree sequence,"degree sequence,simple graph",2,2,3,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q3a,2024/25,Final,3,a,functions,inverse functions,Find and verify inverse function,"inverse,bijective,function composition",2,5,3,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q3b,2024/25,Final,3,b,sequences,geometric sequences,Analyse geometric sequence (pixels),"geometric sequence,common ratio,pixels",3,7,3,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q3c,2024/25,Final,3,c,sequences,summation and product notation,Translate Python code to sigma/product notation,"sigma notation,product notation,Python",3,5,3,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q3d,2024/25,Final,3,d,sequences,arithmetic sequences,Find nth term of arithmetic progression,"arithmetic progression,nth term",1,3,3,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q4a,2024/25,Final,4,a,collections,set operations,Compute set operations,"union,intersection,complement,set difference,symmetric difference",2,6,4,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q4b,2024/25,Final,4,b,enumeration,subsets,Count subsets with conditions,"subsets,cardinality,power set,combinations",2,4,4,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q4c,2024/25,Final,4,c,logic,logic circuits,Design a logical circuit,"logic circuit,logic gates,AND,OR,NOT",2,5,4,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q4d,2024/25,Final,4,d,functions,code interpretation,Determine what Python function computes,"Python,subset,code interpretation",2,5,4,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q5a,2024/25,Final,5,a,graphs,degree sequences,Draw graph and check if simple,"degree sequence,simple graph",2,2,5,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q5b,2024/25,Final,5,b,functions,injective and surjective,Determine if function is injective/surjective,"injective,surjective,one-to-one,onto",2,4,5,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q5c,2024/25,Final,5,c,functions,composition,Evaluate function compositions,"function composition,Python,evaluate",2,6,5,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Final_Q5d,2024/25,Final,5,d,graphs,girth,Find girth of named graphs,"girth,cycle,complete graph,bipartite,wheel graph",3,8,5,Discrete_Mathematics_202425_Final_E.pdf,Discrete_Mathematics_202425_Final_MS.pdf
202425_Repeat_Q1a,2024/25,Repeat,1,a,logic,propositional logic,Convert English to propositional logic,"propositional logic,atomic propositions,implication",2,4,2,Discrete_Mathematics_202425_Repeat_E.pdf,Discrete_Mathematics_202425_Repeat_MS.pdf
202425_Repeat_Q1b,2024/25,Repeat,1,b,logic,well-formed formulas,Identify well-formed formulas,"well-formed formula,propositional logic",2,4,2,Discrete_Mathematics_202425_Repeat_E.pdf,Discrete_Mathematics_202425_Repeat_MS.pdf
202425_Repeat_Q1c,2024/25,Repeat,1,c,sequences,summation and product notation,Evaluate sigma and product notation,"sigma notation,product notation,evaluation",2,6,2,Discrete_Mathematics_202425_Repeat_E.pdf,Discrete_Mathematics_202425_Repeat_MS.pdf
202425_Repeat_Q1d,2024/25,Repeat,1,d,enumeration,lattice paths,Count shortest lattice paths,"lattice paths,combinations,counting",3,6,2,Discrete_Mathematics_202425_Repeat_E.pdf,Discrete_Mathematics_202425_Repeat_MS.pdf
202425_Repeat_Q2a,2024/25,Repeat,2,a,functions,composition,Evaluate function compositions from Python,"function composition,Python,integer division,modulo",2,4,3,Discrete_Mathematics_202425_Repeat_E.pdf,Discrete_Mathematics_202425_Repeat_MS.pdf
202425_Repeat_Q2b,2024/25,Repeat,2,b,sequences,arithmetic sequences,Analyse arithmetic sequence,"arithmetic progression,recursive definition,closed form,sum",3,10,3,Discrete_Mathematics_202425_Repeat_E.pdf,Discrete_Mathematics_202425_Repeat_MS.pdf
202425_Repeat_Q2c,2024/25,Repeat,2,c,graphs,degree sequences,Find degree sequence and girth,"degree sequence,simple graph,girth",2,6,3,Discrete_Mathematics_202425_Repeat_E.pdf,Discrete_Mathematics_202425_Repeat_MS.pdf
202425_Repeat_Q3a,2024/25,Repeat,3,a,collections,set operations,Compute set operations from Python,"union,intersection,difference,Venn diagram,Python",2,6,4,Discrete_Mathematics_202425_Repeat_E.pdf,Discrete_Mathematics_202425_Repeat_MS.pdf
202425_Repeat_Q3b,2024/25,Repeat,3,b,enumeration,subsets,Count subsets with conditions,"subsets,cardinality,combinations",3,8,4,Discrete_Mathematics_202425_Repeat_E.pdf,Discrete_Mathematics_202425_Repeat_MS.pdf
202425_Repeat_Q3c,2024/25,Repeat,3,c,logic,logical equivalence,Check if propositions are logically equivalent,"logical equivalence,truth table,implication",3,6,4,Discrete_Mathematics_202425_Repeat_E.pdf,Discrete_Mathematics_202425_Repeat_MS.pdf
202425_Repeat_Q4a,2024/25,Repeat,4,a,logic,propositional logic,Express English rules as propositional logic,"propositional logic,implication,negation",2,7,5,Discrete_Mathematics_202425_Repeat_E.pdf,Discrete_Mathematics_202425_Repeat_MS.pdf
202425_Repeat_Q4b,2024/25,Repeat,4,b,sequences,geometric sequences,Find first term and ratio,"geometric progression,common ratio",2,3,5,Discrete_Mathematics_202425_Repeat_E.pdf,Discrete_Mathematics_202425_Repeat_MS.pdf
202425_Repeat_Q4c,2024/25,Repeat,4,c,enumeration,n-bit strings,Count n-bit strings with conditions,"n-bit strings,weight,enumeration",3,5,5,Discrete_Mathematics_202425_Repeat_E.pdf,Discrete_Mathematics_202425_Repeat_MS.pdf
202425_Repeat_Q4d,2024/25,Repeat,4,d,logic,truth tables,Use truth table to prove tautology,"truth table,tautology",2,5,5,Discrete_Mathematics_202425_Repeat_E.pdf,Discrete_Mathematics_202425_Repeat_MS.pdf
202324_Final_Q1a,2023/24,Final,1,a,logic,logic circuits,Analyse logic circuit,"logic circuit,truth table,satisfiable,simplification",3,12,2,Discrete_Mathematics_202324_Final_E.pdf,Discrete_Mathematics_202324_Final_MS.pdf
202324_Final_Q1b,2023/24,Final,1,b,collections,set operations,Determine output of Python set code,"Python,sets,subset,code interpretation",2,4,2,Discrete_Mathematics_202324_Final_E.pdf,Discrete_Mathematics_202324_Final_MS.pdf
202324_Final_Q1c,2023/24,Final,1,c,enumeration,subsets,Count subsets with conditions,"subsets,cardinality,power set",2,4,2,Discrete_Mathematics_202324_Final_E.pdf,Discrete_Mathematics_202324_Final_MS.pdf
202324_Final_Q2a,2023/24,Final,2,a,logic,well-formed formulas,Identify well-formed formulas,"well-formed formula,propositional logic",2,4,3,Discrete_Mathematics_202324_Final_E.pdf,Discrete_Mathematics_202324_Final_MS.pdf
202324_Final_Q2b,2023/24,Final,2,b,logic,predicates and quantifiers,Evaluate quantifiers with predicates,"predicates,quantifiers,universal,existential,Python",4,16,3,Discrete_Mathematics_202324_Final_E.pdf,Discrete_Mathematics_202324_Final_MS.pdf
202324_Final_Q3a,2023/24,Final,3,a,logic,truth tables,Construct truth table and classify,"truth table,tautology,contradiction,satisfiable",2,6,4,Discrete_Mathematics_202324_Final_E.pdf,Discrete_Mathematics_202324_Final_MS.pdf
202324_Final_Q3b,2023/24,Final,3,b,sequences,summation and product notation,Determine Python code output,"Python,summation,code interpretation",1,4,4,Discrete_Mathematics_202324_Final_E.pdf,Discrete_Mathematics_202324_Final_MS.pdf
202324_Final_Q3c,2023/24,Final,3,c,sequences,arithmetic sequences,Analyse arithmetic sequence,"arithmetic progression,recursive definition,closed form,sum",3,10,4,Discrete_Mathematics_202324_Final_E.pdf,Discrete_Mathematics_202324_Final_MS.pdf
202324_Final_Q4a,2023/24,Final,4,a,relations,code interpretation,Determine what Python function checks,"Python,relation,code interpretation",3,5,5,Discrete_Mathematics_202324_Final_E.pdf,Discrete_Mathematics_202324_Final_MS.pdf
202324_Final_Q4b,2023/24,Final,4,b,collections,set notation,Evaluate set membership statements,"membership,subset,element of,Python",2,6,5,Discrete_Mathematics_202324_Final_E.pdf,Discrete_Mathematics_202324_Final_MS.pdf
202324_Final_Q4c,2023/24,Final,4,c,sequences,summation and product notation,Evaluate sigma and product notation,"sigma notation,product notation,evaluation",2,9,5,Discrete_Mathematics_202324_Final_E.pdf,Discrete_Mathematics_202324_Final_MS.pdf
202324_Final_Q5a,2023/24,Final,5,a,enumeration,n-bit strings,Count n-bit strings with conditions,"n-bit strings,weight,inclusion-exclusion",3,6,6,Discrete_Mathematics_202324_Final_E.pdf,Discrete_Mathematics_202324_Final_MS.pdf
202324_Final_Q5b,2023/24,Final,5,b,relations,properties,Analyse relation: digraph and properties,"reflexive,symmetric,transitive,equivalence relation,digraph",3,8,6,Discrete_Mathematics_202324_Final_E.pdf,Discrete_Mathematics_202324_Final_MS.pdf
202324_Final_Q5c,2023/24,Final,5,c,functions,composition,Evaluate function compositions,"function composition,Python,evaluate",2,6,6,Discrete_Mathematics_202324_Final_E.pdf,Discrete_Mathematics_202324_Final_MS.pdf
202324_Repeat_Q1a,2023/24,Repeat,1,a,sequences,arithmetic sequences,Analyse arithmetic sequence,"arithmetic progression,recursive definition,closed form,sum",3,10,2,Discrete_Mathematics_202324_Repeat_E.pdf,Discrete_Mathematics_202324_Repeat_MS.pdf
202324_Repeat_Q1b,2023/24,Repeat,1,b,functions,code interpretation,Determine what Python function computes,"Python,prime,code interpretation",2,4,2,Discrete_Mathematics_202324_Repeat_E.pdf,Discrete_Mathematics_202324_Repeat_MS.pdf
202324_Repeat_Q1c,2023/24,Repeat,1,c,enumeration,lattice paths,Count shortest lattice paths,"lattice paths,combinations",3,6,2,Discrete_Mathematics_202324_Repeat_E.pdf,Discrete_Mathematics_202324_Repeat_MS.pdf
202324_Repeat_Q2a,2023/24,Repeat,2,a,functions,composition,Evaluate function compositions from Python,"function composition,Python,integer division",2,5,3,Discrete_Mathematics_202324_Repeat_E.pdf,Discrete_Mathematics_202324_Repeat_MS.pdf
202324_Repeat_Q2b,2023/24,Repeat,2,b,logic,truth tables,Construct truth table and classify,"truth table,satisfiable",2,5,3,Discrete_Mathematics_202324_Repeat_E.pdf,Discrete_Mathematics_202324_Repeat_MS.pdf
202324_Repeat_Q2c,2023/24,Repeat,2,c,sequences,summation and product notation,Evaluate sigma and product notation,"sigma notation,product notation,evaluation",2,6,3,Discrete_Mathematics_202324_Repeat_E.pdf,Discrete_Mathematics_202324_Repeat_MS.pdf
202324_Repeat_Q2d,2023/24,Repeat,2,d,logic,well-formed formulas,Identify well-formed formulas,"well-formed formula,propositional logic",2,4,3,Discrete_Mathematics_202324_Repeat_E.pdf,Discrete_Mathematics_202324_Repeat_MS.pdf
202324_Repeat_Q3a,2023/24,Repeat,3,a,collections,set operations,Compute set operations from Python,"union,intersection,difference,Venn diagram,Python",2,6,4,Discrete_Mathematics_202324_Repeat_E.pdf,Discrete_Mathematics_202324_Repeat_MS.pdf
202324_Repeat_Q3b,2023/24,Repeat,3,b,enumeration,subsets,Count subsets with conditions,"subsets,cardinality,combinations",3,8,4,Discrete_Mathematics_202324_Repeat_E.pdf,Discrete_Mathematics_202324_Repeat_MS.pdf
202324_Repeat_Q3c,2023/24,Repeat,3,c,logic,logical equivalence,Check if propositions are logically equivalent,"logical equivalence,truth table",3,6,4,Discrete_Mathematics_202324_Repeat_E.pdf,Discrete_Mathematics_202324_Repeat_MS.pdf
202324_Repeat_Q4a,2023/24,Repeat,4,a,relations,properties,Analyse relation from Python code,"reflexive,symmetric,transitive,equivalence relation,antisymmetric,Python,digraph",4,14,5,Discrete_Mathematics_202324_Repeat_E.pdf,Discrete_Mathematics_202324_Repeat_MS.pdf
202324_Repeat_Q4b,2023/24,Repeat,4,b,enumeration,n-bit strings,Count n-bit strings with conditions,"n-bit strings,weight,divisibility",3,6,5,Discrete_Mathematics_202324_Repeat_E.pdf,Discrete_Mathematics_202324_Repeat_MS.pdf
202223_Final_Q1a,2022/23,Final,1,a,collections,set operations,Construct sets from conditions,"set difference,intersection",1,2,2,Discrete_Mathematics_202223_Final_E.pdf,Discrete_Mathematics_202223_Final_MS.pdf
202223_Final_Q1b,2022/23,Final,1,b,logic,truth tables,Construct truth table and classify,"truth table,tautology,contradiction,satisfiable",2,7,2,Discrete_Mathematics_202223_Final_E.pdf,Discrete_Mathematics_202223_Final_MS.pdf
202223_Final_Q1c,2022/23,Final,1,c,graphs,adjacency matrix,Analyse graph from adjacency matrix,"adjacency matrix,simple graph,degree sequence,edges",2,6,2,Discrete_Mathematics_202223_Final_E.pdf,Discrete_Mathematics_202223_Final_MS.pdf
202223_Final_Q1d,2022/23,Final,1,d,functions,code interpretation,Determine what Python function computes,"Python,subset,code interpretation",2,5,2,Discrete_Mathematics_202223_Final_E.pdf,Discrete_Mathematics_202223_Final_MS.pdf
202223_Final_Q2a,2022/23,Final,2,a,logic,logic circuits,Analyse logic circuit with two outputs,"logic circuit,logic gates,truth table",3,10,3,Discrete_Mathematics_202223_Final_E.pdf,Discrete_Mathematics_202223_Final_MS.pdf
202223_Final_Q2b,2022/23,Final,2,b,logic,predicates and quantifiers,Evaluate quantified statements,"predicates,quantifiers,universal,existential",3,6,3,Discrete_Mathematics_202223_Final_E.pdf,Discrete_Mathematics_202223_Final_MS.pdf
202223_Final_Q2c,2022/23,Final,2,c,enumeration,permutations and combinations,Probability counting problem,"probability,counting,combinations",2,4,3,Discrete_Mathematics_202223_Final_E.pdf,Discrete_Mathematics_202223_Final_MS.pdf
202223_Final_Q3a,2022/23,Final,3,a,collections,set notation,Determine cardinality of sets,"cardinality,sets,power set",2,4,4,Discrete_Mathematics_202223_Final_E.pdf,Discrete_Mathematics_202223_Final_MS.pdf
202223_Final_Q3b,2022/23,Final,3,b,relations,properties,Analyse relation: digraph and properties,"reflexive,symmetric,transitive,equivalence relation,digraph",3,8,4,Discrete_Mathematics_202223_Final_E.pdf,Discrete_Mathematics_202223_Final_MS.pdf
202223_Final_Q3c,2022/23,Final,3,c,graphs,girth,Find girth of named graphs,"girth,cycle,complete graph,bipartite,wheel graph",3,8,4,Discrete_Mathematics_202223_Final_E.pdf,Discrete_Mathematics_202223_Final_MS.pdf
202223_Repeat_Q1a,2022/23,Repeat,1,a,collections,set operations,Construct sets from conditions,"set difference,intersection",1,2,2,Discrete_Mathematics_202223_Repeat_E.pdf,Discrete_Mathematics_202223_Repeat_MS.pdf
202223_Repeat_Q1b,2022/23,Repeat,1,b,logic,truth tables,Construct truth table and classify,"truth table,tautology,contradiction,satisfiable",2,7,2,Discrete_Mathematics_202223_Repeat_E.pdf,Discrete_Mathematics_202223_Repeat_MS.pdf
202223_Repeat_Q1c,2022/23,Repeat,1,c,graphs,degree sequences,Draw graph and check properties,"degree sequence,simple graph,edges,complete graph",2,7,2,Discrete_Mathematics_202223_Repeat_E.pdf,Discrete_Mathematics_202223_Repeat_MS.pdf
202223_Repeat_Q1d,2022/23,Repeat,1,d,collections,set identities,Prove set identity with membership table,"membership table,set identity,complement",3,4,2,Discrete_Mathematics_202223_Repeat_E.pdf,Discrete_Mathematics_202223_Repeat_MS.pdf
202223_Repeat_Q2a,2022/23,Repeat,2,a,logic,logic circuits,Analyse logic circuit with two outputs,"logic circuit,logic gates,truth table",3,10,3,Discrete_Mathematics_202223_Repeat_E.pdf,Discrete_Mathematics_202223_Repeat_MS.pdf
202223_Repeat_Q2b,2022/23,Repeat,2,b,logic,predicates and quantifiers,Evaluate quantified statements,"predicates,quantifiers,universal,existential",3,6,3,Discrete_Mathematics_202223_Repeat_E.pdf,Discrete_Mathematics_202223_Repeat_MS.pdf
202223_Repeat_Q2c,2022/23,Repeat,2,c,functions,code interpretation,Determine value of x from Python output,"Python,modulo,integer division",2,4,3,Discrete_Mathematics_202223_Repeat_E.pdf,Discrete_Mathematics_202223_Repeat_MS.pdf
202223_Repeat_Q3a,2022/23,Repeat,3,a,functions,injective and surjective,Analyse function from table,"injective,surjective,Venn diagram",2,6,4,Discrete_Mathematics_202223_Repeat_E.pdf,Discrete_Mathematics_202223_Repeat_MS.pdf
202223_Repeat_Q3b,2022/23,Repeat,3,b,relations,properties,Analyse relation from Python code,"reflexive,symmetric,transitive,equivalence relation,Python,digraph,modulo",3,8,4,Discrete_Mathematics_202223_Repeat_E.pdf,Discrete_Mathematics_202223_Repeat_MS.pdf
202223_Repeat_Q3c,2022/23,Repeat,3,c,graphs,girth,Find girth of named graphs,"girth,cycle,Petersen graph,bipartite",2,6,4,Discrete_Mathematics_202223_Repeat_E.pdf,Discrete_Mathematics_202223_Repeat_MS.pdf
202122_Final_Q1a,2021/22,Final,1,a,logic,propositional logic,Formalise English as propositional logic,"propositional logic,conjunction,disjunction,negation",2,10,2,Discrete_Mathematics_202122_Final_E.pdf,
202122_Final_Q1b,2021/22,Final,1,b,logic,well-formed formulas,Identify well-formed formulas,"well-formed formula,propositional logic",2,4,2,Discrete_Mathematics_202122_Final_E.pdf,
202122_Final_Q1c,2021/22,Final,1,c,functions,composition,Evaluate function compositions from Python,"function composition,Python,exponentiation",2,6,2,Discrete_Mathematics_202122_Final_E.pdf,
202122_Final_Q2a,2021/22,Final,2,a,logic,truth tables,Determine satisfiability with truth table,"truth table,satisfiable",2,5,3,Discrete_Mathematics_202122_Final_E.pdf,
202122_Final_Q2b,2021/22,Final,2,b,enumeration,permutations and combinations,Count shapes from dot grid,"counting,combinations,squares,rectangles",4,9,3,Discrete_Mathematics_202122_Final_E.pdf,
202122_Final_Q2c,2021/22,Final,2,c,graphs,Eulerian,Classify graphs as Eulerian/semi-Eulerian,"Eulerian,wheel graph,bipartite,Petersen graph",3,6,3,Discrete_Mathematics_202122_Final_E.pdf,
202122_Final_Q3a,2021/22,Final,3,a,collections,set operations,Construct sets from conditions,"set difference,intersection",1,2,4,Discrete_Mathematics_202122_Final_E.pdf,
202122_Final_Q3b,2021/22,Final,3,b,functions,code interpretation,Analyse Collatz function in Python,"Python,Collatz,code interpretation,recursion",4,8,4,Discrete_Mathematics_202122_Final_E.pdf,
202122_Final_Q3c,2021/22,Final,3,c,enumeration,subsets,Count subsets with conditions,"subsets,cardinality,power set,combinations,primes",3,10,4,Discrete_Mathematics_202122_Final_E.pdf,
202122_Final_Q4a,2021/22,Final,4,a,collections,set notation,Evaluate set membership statements,"membership,subset,element of,empty set",2,6,5,Discrete_Mathematics_202122_Final_E.pdf,
202122_Final_Q4b,2021/22,Final,4,b,relations,properties,Analyse relation: digraph and properties,"reflexive,symmetric,transitive,irreflexive,digraph",3,9,5,Discrete_Mathematics_202122_Final_E.pdf,
202122_Final_Q4c,2021/22,Final,4,c,enumeration,lattice paths,Count shortest lattice paths,"lattice paths,combinations",3,5,5,Discrete_Mathematics_202122_Final_E.pdf,
202122_Final_Q5a,2021/22,Final,5,a,logic,logic circuits,Analyse logic circuit and extend to 3 inputs,"logic circuit,logic gates,XOR",3,6,6,Discrete_Mathematics_202122_Final_E.pdf,
202122_Final_Q5b,2021/22,Final,5,b,functions,injective and surjective,Check if function is injective/surjective,"injective,surjective",2,4,6,Discrete_Mathematics_202122_Final_E.pdf,
202122_Final_Q5c,2021/22,Final,5,c,enumeration,n-bit strings,Count n-bit strings with conditions,"n-bit strings,weight,inclusion-exclusion",3,10,6,Discrete_Mathematics_202122_Final_E.pdf,
